original_probe_id	new_probe_id	gene_name	gene_symbol	composite_group
Alistipes_finegoldii_consensus_probe10	Alistipes_probe1	Alistipes	ALISP	1
Alistipes_finegoldii_consensus_probe5	Alistipes_probe2	Alistipes	ALISP	1
Bacteroides_fragilis_consensus_probe10	Bacteroides_probe1	Bacteroides	BACTO	1
Bacteroides_fragilis_consensus_probe6	Bacteroides_probe2	Bacteroides	BACTO	1
Enterocloster_bolteae_consensus_probe9	Enterocloster_probe1	Enterocloster	ENTERO	1
Enterocloster_bolteae_consensus_probe13	Enterocloster_probe2	Enterocloster	ENTERO	1
Fusobacterium_nucleatum_consensus_probe4	Fusobacterium_probe1	Fusobacterium	FUSO	1
Fusobacterium_nucleatum_consensus_probe15	Fusobacterium_probe2	Fusobacterium	FUSO	1
Parvimonas_micra_consensus_probe1	Parvimonas_probe1	Parvimonas	PARVI	1
Parvimonas_micra_consensus_probe14	Parvimonas_probe2	Parvimonas	PARVI	1
Peptostreptococcus_stomatis_consensus_probe1	Peptostreptococcus_probe1	Peptostreptococcus	PEPTO	1
Peptostreptococcus_stomatis_consensus_probe14	Peptostreptococcus_probe2	Peptostreptococcus	PEPTO	1
Porphyromonas_gingivalis_consensus_probe3	Porphyromonas_probe1	Porphyromonas	PORPH	1
Porphyromonas_gingivalis_consensus_probe7	Porphyromonas_probe2	Porphyromonas	PORPH	1
Streptococcus_gallolyticus_consensus_probe11	Streptococcus_probe1	Streptococcus	STREP	1
Streptococcus_gallolyticus_consensus_probe14	Streptococcus_probe2	Streptococcus	STREP	1
